,amount,date,formatted_date,type,ticker,numerator,denominator,splitRatio
3615,0.47,1299157200,2011-03-03,DIVIDEND,UGPA3,,,
3616,0.66,1362056400,2013-02-28,DIVIDEND,UGPA3,,,
3617,0.71,1393506000,2014-02-27,DIVIDEND,UGPA3,,,
3618,,1555592400,2019-04-18,SPLIT,UGPA3,2.0,1.0,1/2
3619,,1124802000,2005-08-23,SPLIT,UGPA3,1.0,1000.0,1000/1
3620,,1108123200,2005-02-11,SPLIT,UGPA3,115.0,100.0,100/115
3621,,1297944000,2011-02-17,SPLIT,UGPA3,4.0,1.0,1/4
3622,,1467118800,2016-06-28,SPLIT,DTCY3,1.0,10.0,10/1
3623,0.026232,1262606400,2010-01-04,DIVIDEND,SAPR4,,,
3624,0.150824,1372683600,2013-07-01,DIVIDEND,SAPR4,,,
3625,0.183771,1404219600,2014-07-01,DIVIDEND,SAPR4,,,
3626,0.213316,1435755600,2015-07-01,DIVIDEND,SAPR4,,,
3627,0.307279,1482926400,2016-12-28,DIVIDEND,SAPR4,,,
3628,0.151814,1388664000,2014-01-02,DIVIDEND,SAPR4,,,
3629,0.184029,1420200000,2015-01-02,DIVIDEND,SAPR4,,,
3630,0.314593,1467378000,2016-07-01,DIVIDEND,SAPR4,,,
3631,0.0959413,1366981200,2013-04-26,DIVIDEND,SAPR4,,,
3632,0.235383,1451908800,2016-01-04,DIVIDEND,SAPR4,,,
3633,0.307279,1483358400,2017-01-02,DIVIDEND,SAPR4,,,
3634,0.32655,1499086800,2017-07-03,DIVIDEND,SAPR4,,,
3635,0.356552,1561986000,2019-07-01,DIVIDEND,SAPR4,,,
3636,0.326724,1514894400,2018-01-02,DIVIDEND,SAPR4,,,
3637,0.326103,1530622800,2018-07-03,DIVIDEND,SAPR4,,,
3638,0.341518,1546430400,2019-01-02,DIVIDEND,SAPR4,,,
3639,0.319867,1577966400,2020-01-02,DIVIDEND,SAPR4,,,
3640,0.141492,1398690000,2014-04-28,DIVIDEND,SAPR4,,,
3641,0.07122,1430312400,2015-04-29,DIVIDEND,SAPR4,,,
3642,0.0077,1461934800,2016-04-29,DIVIDEND,SAPR4,,,
3643,0.00856,1493384400,2017-04-28,DIVIDEND,SAPR4,,,
3644,0.01336,1524834000,2018-04-27,DIVIDEND,SAPR4,,,
3645,0.061364,1277989200,2010-07-01,DIVIDEND,SAPR4,,,
3646,0.296457,1530622800,2018-07-03,DIVIDEND,SAPR3,,,
3647,0.310471,1546430400,2019-01-02,DIVIDEND,SAPR3,,,
3648,0.138013,1388664000,2014-01-02,DIVIDEND,SAPR3,,,
3649,0.130132,1398690000,2014-04-28,DIVIDEND,SAPR3,,,
3650,0.167064,1404219600,2014-07-01,DIVIDEND,SAPR3,,,
3651,0.167299,1420200000,2015-01-02,DIVIDEND,SAPR3,,,
3652,0.06475,1430312400,2015-04-29,DIVIDEND,SAPR3,,,
3653,0.324138,1561986000,2019-07-01,DIVIDEND,SAPR3,,,
3654,0.290788,1577966400,2020-01-02,DIVIDEND,SAPR3,,,
3655,0.193923,1435755600,2015-07-01,DIVIDEND,SAPR3,,,
3656,0.213984,1451908800,2016-01-04,DIVIDEND,SAPR3,,,
3657,0.007,1461934800,2016-04-29,DIVIDEND,SAPR3,,,
3658,0.285993,1467378000,2016-07-01,DIVIDEND,SAPR3,,,
3659,0.279344,1483358400,2017-01-02,DIVIDEND,SAPR3,,,
3660,0.00778,1493384400,2017-04-28,DIVIDEND,SAPR3,,,
3661,0.296863,1499086800,2017-07-03,DIVIDEND,SAPR3,,,
3662,0.297022,1514894400,2018-01-02,DIVIDEND,SAPR3,,,
3663,0.01215,1524834000,2018-04-27,DIVIDEND,SAPR3,,,
3664,1.49796,1204894800,2008-03-07,DIVIDEND,CPFE3,,,
3665,0.473779,1366635600,2013-04-22,DIVIDEND,CPFE3,,,
3666,1.36487,1268139600,2010-03-09,DIVIDEND,CPFE3,,,
3667,0.377282,1377262800,2013-08-23,DIVIDEND,CPFE3,,,
3668,1.01019,1302008400,2011-04-05,DIVIDEND,CPFE3,,,
3669,0.590062,1398862800,2014-04-30,DIVIDEND,CPFE3,,,
3670,0.206869,1462194000,2016-05-02,DIVIDEND,CPFE3,,,
3671,0.275259,1525093200,2018-04-30,DIVIDEND,CPFE3,,,
3672,0.788205,1334322000,2012-04-13,DIVIDEND,CPFE3,,,
3673,0.217877,1484308800,2017-01-13,DIVIDEND,CPFE3,,,
3674,0.438747,1409922000,2014-09-05,DIVIDEND,CPFE3,,,
3675,1.1912,1250600400,2009-08-18,DIVIDEND,CPFE3,,,
3676,0.480182,1556802000,2019-05-02,DIVIDEND,CPFE3,,,
3677,1.25352,1219237200,2008-08-20,DIVIDEND,CPFE3,,,
3678,0.66534,1345122000,2012-08-16,DIVIDEND,CPFE3,,,
3679,1.26295,1236085200,2009-03-03,DIVIDEND,CPFE3,,,
3680,1.60958,1282222800,2010-08-19,DIVIDEND,CPFE3,,,
3681,0.777023,1313672400,2011-08-18,DIVIDEND,CPFE3,,,
3682,,1120050000,2005-06-29,SPLIT,CPFE3,104.0,100.0,100/104
3683,,1430398800,2015-04-30,SPLIT,CPFE3,1.0,1.0,1/1
3684,,1309352400,2011-06-29,SPLIT,CPFE3,2.0,1.0,1/2
3685,,1462194000,2016-05-02,SPLIT,CPFE3,1.0,1.0,1/1
3686,1.2705,1568293200,2019-09-12,DIVIDEND,PEAB4,,,
3687,0.97,1197547200,2007-12-13,DIVIDEND,PEAB3,,,
3688,2.23,1219842000,2008-08-27,DIVIDEND,PEAB3,,,
3689,1.459,1307970000,2011-06-13,DIVIDEND,PEAB3,,,
3690,0.19,1272632400,2010-04-30,DIVIDEND,PEAB3,,,
3691,1.155,1568293200,2019-09-12,DIVIDEND,PEAB3,,,
3692,1.07393,1335963600,2012-05-02,DIVIDEND,PEAB3,,,
3693,1.4317,1367499600,2013-05-02,DIVIDEND,PEAB3,,,
3694,2.32813,1399035600,2014-05-02,DIVIDEND,PEAB3,,,
3695,3.13455,1524834000,2018-04-27,DIVIDEND,PEAB3,,,
3696,2.73336,1556542800,2019-04-29,DIVIDEND,PEAB3,,,
3697,2.51844,1430744400,2015-05-04,DIVIDEND,PEAB3,,,
3698,1.2143,1462194000,2016-05-02,DIVIDEND,PEAB3,,,
3699,3.13455,1525093200,2018-04-30,DIVIDEND,PEAB3,,,
3700,2.87132,1493730000,2017-05-02,DIVIDEND,PEAB3,,,
3701,,969282000,2000-09-18,SPLIT,PEAB3,67.0,1.0,1/67
3702,0.868813,1514289600,2017-12-26,DIVIDEND,BRAP3,,,
3703,0.726619,1577707200,2019-12-30,DIVIDEND,BRAP3,,,
3704,0.685023,1304082000,2011-04-29,DIVIDEND,BRAP3,,,
3705,0.585504,1546430400,2019-01-02,DIVIDEND,BRAP3,,,
3706,0.426863,1272891600,2010-05-03,DIVIDEND,BRAP3,,,
3707,0.0298724,1288612800,2010-11-01,DIVIDEND,BRAP3,,,
3708,0.636496,1335790800,2012-04-30,DIVIDEND,BRAP3,,,
3709,0.220139,1430139600,2015-04-27,DIVIDEND,BRAP3,,,
3710,0.00483545,1320148800,2011-11-01,DIVIDEND,BRAP3,,,
3711,0.59103,1367326800,2013-04-30,DIVIDEND,BRAP3,,,
3712,0.330423,1398776400,2014-04-29,DIVIDEND,BRAP3,,,
3713,0.124515,1257249600,2009-11-03,DIVIDEND,BRAP3,,,
3714,0.591091,1351771200,2012-11-01,DIVIDEND,BRAP3,,,
3715,0.64679,1383307200,2013-11-01,DIVIDEND,BRAP3,,,
3716,0.429569,1493384400,2017-04-28,DIVIDEND,BRAP3,,,
3717,0.735358,1415016000,2014-11-03,DIVIDEND,BRAP3,,,
3718,1.16818,1525093200,2018-04-30,DIVIDEND,BRAP3,,,
3719,0.371399,1446552000,2015-11-03,DIVIDEND,BRAP3,,,
3720,0.540837,1556802000,2019-05-02,DIVIDEND,BRAP3,,,
3721,0.868813,1513944000,2017-12-22,DIVIDEND,BRAP3,,,
3722,0.100912,1482494400,2016-12-23,DIVIDEND,BRAP3,,,
3723,,1089032400,2004-07-05,SPLIT,BRAP3,1.0,50.0,50/1
3724,,1168344000,2007-01-09,SPLIT,BRAP3,2.0,1.0,1/2
3725,,1192536000,2007-10-16,SPLIT,BRAP3,2.0,1.0,1/2
3726,,1115038800,2005-05-02,SPLIT,BRAP3,2.0,1.0,1/2
3727,0.955695,1514289600,2017-12-26,DIVIDEND,BRAP4,,,
3728,0.799281,1577707200,2019-12-30,DIVIDEND,BRAP4,,,
3729,0.753525,1304082000,2011-04-29,DIVIDEND,BRAP4,,,
3730,0.644055,1546430400,2019-01-02,DIVIDEND,BRAP4,,,
3731,0.469549,1272891600,2010-05-03,DIVIDEND,BRAP4,,,
3732,0.0328596,1288612800,2010-11-01,DIVIDEND,BRAP4,,,
3733,0.700146,1335790800,2012-04-30,DIVIDEND,BRAP4,,,
3734,0.382872,1430139600,2015-04-27,DIVIDEND,BRAP4,,,
3735,0.005319,1320148800,2011-11-01,DIVIDEND,BRAP4,,,
3736,0.59251,1367326800,2013-04-30,DIVIDEND,BRAP4,,,
3737,0.363465,1398776400,2014-04-29,DIVIDEND,BRAP4,,,
3738,0.458405,1257249600,2009-11-03,DIVIDEND,BRAP4,,,
