,date,high,low,open,close,volume,adjclose,formatted_date,ticker,type
907,1056546000,13286.0,13015.0,13110.0,13026.0,0.0,13026.0,2003-06-25,^BVSP,INDEX
908,1056632400,13237.0,13030.0,13031.0,13112.0,0.0,13112.0,2003-06-26,^BVSP,INDEX
909,1056718800,13193.0,12976.0,13112.0,13024.0,0.0,13024.0,2003-06-27,^BVSP,INDEX
910,1056978000,13066.0,12930.0,13027.0,12973.0,0.0,12973.0,2003-06-30,^BVSP,INDEX
911,1057064400,13291.0,12893.0,12967.0,13291.0,0.0,13291.0,2003-07-01,^BVSP,INDEX
912,1057150800,13376.0,13240.0,13292.0,13310.0,0.0,13310.0,2003-07-02,^BVSP,INDEX
913,1057237200,13309.0,13134.0,13308.0,13134.0,0.0,13134.0,2003-07-03,^BVSP,INDEX
914,1057323600,13292.0,13067.0,13135.0,13281.0,0.0,13281.0,2003-07-04,^BVSP,INDEX
915,1057582800,13444.0,13273.0,13274.0,13402.0,0.0,13402.0,2003-07-07,^BVSP,INDEX
916,1057669200,13619.0,13339.0,13401.0,13619.0,0.0,13619.0,2003-07-08,^BVSP,INDEX
917,1057755600,,,,,,,2003-07-09,^BVSP,INDEX
918,1057842000,13622.0,13407.0,13622.0,13501.0,0.0,13501.0,2003-07-10,^BVSP,INDEX
919,1057928400,13522.0,13287.0,13498.0,13321.0,0.0,13321.0,2003-07-11,^BVSP,INDEX
920,1058187600,13635.0,13322.0,13322.0,13588.0,0.0,13588.0,2003-07-14,^BVSP,INDEX
921,1058274000,13736.0,13568.0,13593.0,13614.0,0.0,13614.0,2003-07-15,^BVSP,INDEX
922,1058360400,13633.0,13435.0,13613.0,13487.0,0.0,13487.0,2003-07-16,^BVSP,INDEX
923,1058446800,13636.0,13360.0,13487.0,13622.0,0.0,13622.0,2003-07-17,^BVSP,INDEX
924,1058533200,13809.0,13622.0,13622.0,13794.0,0.0,13794.0,2003-07-18,^BVSP,INDEX
925,1058792400,13859.0,13676.0,13794.0,13676.0,0.0,13676.0,2003-07-21,^BVSP,INDEX
926,1058878800,13867.0,13671.0,13676.0,13835.0,0.0,13835.0,2003-07-22,^BVSP,INDEX
927,1058965200,13942.0,13755.0,13852.0,13799.0,0.0,13799.0,2003-07-23,^BVSP,INDEX
928,1059051600,13947.0,13755.0,13799.0,13761.0,0.0,13761.0,2003-07-24,^BVSP,INDEX
929,1059138000,13868.0,13661.0,13761.0,13750.0,0.0,13750.0,2003-07-25,^BVSP,INDEX
930,1059397200,13783.0,13605.0,13752.0,13643.0,0.0,13643.0,2003-07-28,^BVSP,INDEX
931,1059483600,13704.0,13577.0,13652.0,13623.0,0.0,13623.0,2003-07-29,^BVSP,INDEX
932,1059570000,13698.0,13453.0,13623.0,13475.0,0.0,13475.0,2003-07-30,^BVSP,INDEX
933,1059656400,13615.0,13475.0,13475.0,13572.0,0.0,13572.0,2003-07-31,^BVSP,INDEX
934,1059742800,13579.0,13130.0,13579.0,13130.0,0.0,13130.0,2003-08-01,^BVSP,INDEX
935,1060002000,13128.0,12757.0,13128.0,12939.0,0.0,12939.0,2003-08-04,^BVSP,INDEX
936,1060088400,13112.0,12940.0,12940.0,13059.0,0.0,13059.0,2003-08-05,^BVSP,INDEX
937,1060174800,13188.0,12839.0,13060.0,12888.0,0.0,12888.0,2003-08-06,^BVSP,INDEX
938,1060261200,13350.0,12892.0,12892.0,13328.0,0.0,13328.0,2003-08-07,^BVSP,INDEX
939,1060347600,13513.0,13333.0,13333.0,13500.0,0.0,13500.0,2003-08-08,^BVSP,INDEX
940,1060606800,13582.0,13442.0,13500.0,13560.0,0.0,13560.0,2003-08-11,^BVSP,INDEX
941,1060693200,13766.0,13553.0,13559.0,13602.0,0.0,13602.0,2003-08-12,^BVSP,INDEX
942,1060779600,13858.0,13542.0,13597.0,13682.0,0.0,13682.0,2003-08-13,^BVSP,INDEX
943,1060866000,13849.0,13529.0,13683.0,13812.0,0.0,13812.0,2003-08-14,^BVSP,INDEX
944,1060952400,13952.0,13744.0,13810.0,13890.0,0.0,13890.0,2003-08-15,^BVSP,INDEX
945,1061211600,14147.0,13900.0,13900.0,14146.0,0.0,14146.0,2003-08-18,^BVSP,INDEX
946,1061298000,14236.0,14091.0,14147.0,14158.0,0.0,14158.0,2003-08-19,^BVSP,INDEX
947,1061384400,14506.0,14058.0,14158.0,14467.0,0.0,14467.0,2003-08-20,^BVSP,INDEX
948,1061470800,14687.0,14398.0,14470.0,14670.0,0.0,14670.0,2003-08-21,^BVSP,INDEX
949,1061557200,14765.0,14589.0,14670.0,14613.0,0.0,14613.0,2003-08-22,^BVSP,INDEX
950,1061816400,14714.0,14426.0,14613.0,14473.0,0.0,14473.0,2003-08-25,^BVSP,INDEX
951,1061902800,14948.0,14425.0,14475.0,14878.0,0.0,14878.0,2003-08-26,^BVSP,INDEX
952,1061989200,15143.0,14876.0,14876.0,15143.0,0.0,15143.0,2003-08-27,^BVSP,INDEX
953,1062075600,15252.0,14929.0,15151.0,15065.0,0.0,15065.0,2003-08-28,^BVSP,INDEX
954,1062162000,15197.0,14857.0,15065.0,15174.0,0.0,15174.0,2003-08-29,^BVSP,INDEX
955,1062421200,15374.0,15075.0,15174.0,15352.0,0.0,15352.0,2003-09-01,^BVSP,INDEX
956,1062507600,15475.0,15321.0,15352.0,15454.0,0.0,15454.0,2003-09-02,^BVSP,INDEX
957,1062594000,15690.0,15455.0,15455.0,15634.0,0.0,15634.0,2003-09-03,^BVSP,INDEX
958,1062680400,15884.0,15564.0,15635.0,15705.0,0.0,15705.0,2003-09-04,^BVSP,INDEX
959,1062766800,15951.0,15610.0,15707.0,15900.0,0.0,15900.0,2003-09-05,^BVSP,INDEX
960,1063026000,16239.0,15895.0,15904.0,16050.0,0.0,16050.0,2003-09-08,^BVSP,INDEX
961,1063112400,16062.0,15699.0,16051.0,15718.0,0.0,15718.0,2003-09-09,^BVSP,INDEX
962,1063198800,15997.0,15492.0,15716.0,15983.0,0.0,15983.0,2003-09-10,^BVSP,INDEX
963,1063285200,16454.0,15985.0,15985.0,16292.0,0.0,16292.0,2003-09-11,^BVSP,INDEX
964,1063371600,16508.0,16058.0,16283.0,16421.0,0.0,16421.0,2003-09-12,^BVSP,INDEX
965,1063630800,16601.0,16277.0,16423.0,16342.0,0.0,16342.0,2003-09-15,^BVSP,INDEX
966,1063717200,16496.0,16258.0,16354.0,16270.0,0.0,16270.0,2003-09-16,^BVSP,INDEX
967,1063803600,16492.0,16225.0,16280.0,16492.0,0.0,16492.0,2003-09-17,^BVSP,INDEX
968,1063890000,16911.0,16424.0,16492.0,16889.0,0.0,16889.0,2003-09-18,^BVSP,INDEX
969,1063976400,17104.0,16822.0,16890.0,16851.0,0.0,16851.0,2003-09-19,^BVSP,INDEX
970,1064235600,16850.0,16450.0,16850.0,16486.0,0.0,16486.0,2003-09-22,^BVSP,INDEX
971,1064322000,16542.0,16226.0,16488.0,16444.0,0.0,16444.0,2003-09-23,^BVSP,INDEX
972,1064408400,16636.0,16053.0,16446.0,16058.0,0.0,16058.0,2003-09-24,^BVSP,INDEX
